年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10206(實價),住宅大樓(含車位),嘉義市嘉義市博東路1~30號,19.1,3房/2廳/2衛,11 /共12層,36.38,5.14,--,#NAME?,8.8萬,320萬,600台灣嘉義市東區博東路1號,23.4902251,120.4560186,長竹里
10207(實價),住宅大樓,嘉義市嘉義市博東路1~30號,19.2,1房/1廳/1衛,5 /共12層,37.96,5.14,--,#NAME?,6.1萬,230萬,600台灣嘉義市東區博東路1號,23.4902251,120.4560186,長竹里
10208(實價),住宅大樓(含車位),嘉義市嘉義市博東路1~30號,19.3,3房/1廳/2衛,9 /共12層,36.38,5.14,--,#NAME?,7.7萬,280萬,600台灣嘉義市東區博東路1號,23.4902251,120.4560186,長竹里
10209(實價),住宅大樓,嘉義市嘉義市博東路1~30號,19.3,2房/1廳/1衛,12 /共12層,37.96,5.14,--,#NAME?,10.3萬,390萬,600台灣嘉義市東區博東路1號,23.4902251,120.4560186,長竹里
10209(實價),透天厝,嘉義市嘉義市博東路43巷1~30號,13.3,5房/2廳/5衛,1 /共5層,70.04,22.69,--,#NAME?,9.6萬,670萬,600台灣嘉義市東區博東路1號,23.4902251,120.4560186,長竹里
10212(實價),住宅大樓(含車位),嘉義市嘉義市博東路1~30號,19.6,3房/2廳/2衛,11 /共12層,36.38,5.14,--,#NAME?,10.6萬,385萬,600台灣嘉義市東區博東路1號,23.4902251,120.4560186,長竹里
10203(實價),住宅大樓,嘉義市嘉義市博東路91~120號,15,2房/1廳/1衛,5 /共22層,25.53,2.92,--,#NAME?,7.4萬,190萬,600台灣嘉義市東區博東路24-80號,23.4905823,120.4615667,長竹里
10204(實價),住宅大樓,嘉義市嘉義市博東路91~120號,15.1,2房/1廳/1衛,16 /共22層,24.07,2.92,--,#NAME?,7.3萬,175萬,600台灣嘉義市東區博東路24-80號,23.4905823,120.4615667,王田里
10206(實價),住宅大樓,嘉義市嘉義市博東路91~120號,15.3,3房/2廳/2衛,12 /共22層,34.9,4.38,--,#NAME?,8.6萬,300萬,600台灣嘉義市東區博東路24-80號,23.4905823,120.4615667,王田里
10209(實價),住宅大樓,嘉義市嘉義市太平里博東路91~120號,15.5,1房/1廳/1衛,16 /共22層,25.53,2.92,--,#NAME?,8.3萬,212萬,600台灣嘉義市東區博東路24-80號,23.4905823,120.4615667,王田里
10210(實價),住宅大樓,嘉義市嘉義市博東路91~120號,15.6,2房/1廳/2衛,5 /共22層,25.53,2.92,--,#NAME?,6.5萬,165萬,600台灣嘉義市東區博東路24-80號,23.4905823,120.4615667,王田里
10210(實價),透天厝,嘉義市嘉義市博東路200巷61~90號,0.5,6房/2廳/7衛,1 /共5層,159.86,56.04,--,#NAME?,12.5萬,2000萬,600台灣嘉義市東區博東路24-80號,23.490556,120.461665,王田里
